Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
5191,-0.00335693,-0.0012207,-0.000610352,-0.00183105,-0.000305176,-0.00213623,-0.000915527,-0.00274658,-0.00183105,-0.00183105,-0.00305176,-0.000305176,-0.000915527,-0.00183105,-0.00244141,-0.000610352
5291,-0.00366211,-0.0012207,-0.000305176,-0.00213623,-0.00213623,-0.00213623,0,-0.00396729,-0.00274658,-0.000915527,-0.00305176,0,-0.000610352,-0.00244141,-0.00213623,-0.000610352
5291,-0.00366211,-0.0012207,-0.000305176,-0.00213623,-0.00213623,-0.00213623,0,-0.00396729,-0.00274658,-0.000915527,-0.00305176,0,-0.000610352,-0.00244141,-0.00213623,-0.000610352
5401,-0.00335693,-0.00152588,-0.000305176,-0.00183105,-0.000610352,-0.00213623,-0.000305176,-0.00366211,-0.0012207,-0.00152588,-0.00335693,0.000610352,-0.00183105,-0.00183105,-0.00274658,-0.000610352
5401,-0.00335693,-0.00152588,-0.000305176,-0.00183105,-0.000610352,-0.00213623,-0.000305176,-0.00366211,-0.0012207,-0.00152588,-0.00335693,0.000610352,-0.00183105,-0.00183105,-0.00274658,-0.000610352
5491,-0.00427246,-0.00152588,0,-0.00183105,-0.000915527,-0.00305176,0.000305176,-0.00335693,-0.00274658,-0.000915527,-0.00366211,0.000915527,-0.00183105,-0.00244141,-0.00183105,-0.000305176
5491,-0.00427246,-0.00152588,0,-0.00183105,-0.000915527,-0.00305176,0.000305176,-0.00335693,-0.00274658,-0.000915527,-0.00366211,0.000915527,-0.00183105,-0.00244141,-0.00183105,-0.000305176
5601,-0.00335693,-0.0012207,-0.000610352,-0.00183105,-0.000610352,-0.00274658,-0.000305176,-0.00305176,-0.00213623,-0.000610352,-0.00366211,-0.000610352,-0.00152588,-0.00183105,-0.0012207,-0.000915527
5601,-0.00335693,-0.0012207,-0.000610352,-0.00183105,-0.000610352,-0.00274658,-0.000305176,-0.00305176,-0.00213623,-0.000610352,-0.00366211,-0.000610352,-0.00152588,-0.00183105,-0.0012207,-0.000915527
5691,-0.00305176,-0.00152588,-0.000610352,-0.00183105,-0.00183105,-0.00213623,0.000305176,-0.00335693,-0.00305176,-0.000305176,-0.00244141,0,-0.00152588,-0.00152588,-0.00213623,0
5691,-0.00305176,-0.00152588,-0.000610352,-0.00183105,-0.00183105,-0.00213623,0.000305176,-0.00335693,-0.00305176,-0.000305176,-0.00244141,0,-0.00152588,-0.00152588,-0.00213623,0
5801,-0.00366211,-0.000610352,-0.000915527,-0.00213623,-0.0012207,-0.00213623,0,-0.00335693,-0.00213623,-0.00213623,-0.00335693,0,-0.000915527,-0.00244141,-0.00335693,-0.000610352
5801,-0.00366211,-0.000610352,-0.000915527,-0.00213623,-0.0012207,-0.00213623,0,-0.00335693,-0.00213623,-0.00213623,-0.00335693,0,-0.000915527,-0.00244141,-0.00335693,-0.000610352
5891,-0.00244141,-0.0012207,-0.00152588,-0.00183105,-0.000610352,-0.00183105,0.000610352,-0.00427246,-0.00274658,-0.000915527,-0.00396729,-0.000305176,-0.00152588,-0.00213623,-0.00274658,-0.000305176
5891,-0.00244141,-0.0012207,-0.00152588,-0.00183105,-0.000610352,-0.00183105,0.000610352,-0.00427246,-0.00274658,-0.000915527,-0.00396729,-0.000305176,-0.00152588,-0.00213623,-0.00274658,-0.000305176
5991,-0.00305176,-0.00213623,0,-0.00183105,-0.0012207,-0.00244141,-0.000915527,-0.00274658,-0.00183105,-0.0012207,-0.00335693,0,-0.00152588,-0.00244141,-0.00213623,-0.000610352
5991,-0.00305176,-0.00213623,0,-0.00183105,-0.0012207,-0.00244141,-0.000915527,-0.00274658,-0.00183105,-0.0012207,-0.00335693,0,-0.00152588,-0.00244141,-0.00213623,-0.000610352
6101,-0.00244141,-0.0012207,-0.000915527,-0.00244141,-0.000915527,-0.00244141,0,-0.00366211,-0.00274658,-0.00152588,-0.00305176,0.000305176,-0.0012207,-0.00244141,-0.00183105,-0.00213623
